t,arrivals,starts,departures,queue_len,busy_servers
385,1,1,1,29,2
386,0,0,0,29,2
387,2,1,1,30,2
388,0,0,0,30,2
389,0,2,2,28,2
390,1,0,0,29,2
391,1,1,1,29,2
392,0,0,0,29,2
393,1,2,2,28,2
394,0,0,0,28,2
395,0,0,0,28,2
396,0,0,0,28,2
397,1,1,1,28,2
398,0,1,1,27,2
399,0,1,1,26,2
400,4,1,1,29,2
401,0,0,0,29,2
402,1,0,0,30,2
403,0,0,0,30,2
404,0,1,1,29,2
405,0,1,1,28,2
406,1,0,0,29,2
407,2,2,2,29,2
408,0,0,0,29,2
409,0,0,0,29,2
410,1,1,1,29,2
411,2,1,1,30,2
412,0,0,0,30,2
413,1,1,1,30,2
414,0,1,1,29,2
415,2,0,0,31,2
416,0,0,0,31,2
417,3,2,2,32,2
418,4,0,0,36,2
419,0,0,0,36,2
420,3,2,2,37,2
421,2,0,0,39,2
422,1,0,0,40,2
423,0,0,0,40,2
424,1,1,1,40,2
425,0,1,1,39,2
426,1,0,0,40,2
427,0,1,1,39,2
428,1,0,0,40,2
429,1,1,1,40,2
430,0,1,1,39,2
431,0,0,0,39,2
432,0,2,2,37,2
433,1,0,0,38,2
434,0,1,1,37,2
435,0,0,0,37,2
436,1,1,1,37,2
437,0,1,1,36,2
438,1,0,0,37,2
439,4,1,1,40,2
440,0,0,0,40,2
441,0,0,0,40,2
442,2,2,2,40,2
443,0,0,0,40,2
444,0,0,0,40,2
445,2,1,1,41,2
446,0,0,0,41,2
447,2,2,2,41,2
448,0,0,0,41,2
449,0,1,1,40,2
450,1,1,1,40,2
451,0,1,1,39,2
452,1,0,0,40,2
453,0,1,1,39,2
454,1,0,0,40,2
455,0,1,1,39,2
456,0,0,0,39,2
457,1,0,0,40,2
458,2,2,2,40,2
459,0,0,0,40,2
460,0,0,0,40,2
461,2,1,1,41,2
462,0,0,0,41,2
463,0,1,1,40,2
464,1,1,1,40,2
465,0,1,1,39,2
466,1,1,1,39,2
467,0,0,0,39,2
468,0,0,0,39,2
469,0,1,1,38,2
470,1,1,1,38,2
471,0,0,0,38,2
472,1,1,1,38,2
473,1,1,1,38,2
474,0,0,0,38,2
475,0,2,2,36,2
476,2,0,0,38,2
477,0,0,0,38,2
