t,arrivals,starts,departures,queue_len,busy_servers
358,1,1,1,0,2
359,0,0,0,0,2
360,0,0,2,0,0
361,0,0,0,0,0
362,2,2,0,0,2
363,1,1,0,0,3
364,0,0,1,0,2
365,0,0,1,0,1
366,0,0,0,0,1
367,2,2,1,0,2
368,0,0,0,0,2
369,0,0,1,0,1
370,1,1,0,0,2
371,0,0,1,0,1
372,0,0,1,0,0
373,0,0,0,0,0
374,4,3,0,1,3
375,0,0,0,1,3
376,1,1,1,1,3
377,0,1,1,0,3
378,1,1,1,0,3
379,1,1,1,0,3
380,0,0,0,0,3
381,3,2,2,1,3
382,0,0,0,1,3
383,0,1,2,0,2
384,2,2,1,0,3
385,0,0,0,0,3
386,1,1,1,0,3
387,0,0,1,0,2
388,1,1,1,0,2
389,3,2,1,1,3
390,0,0,0,1,3
391,0,1,1,0,3
392,0,0,2,0,1
393,1,1,0,0,2
394,0,0,0,0,2
395,1,1,1,0,2
396,0,0,1,0,1
397,0,0,1,0,0
398,4,3,0,1,3
399,1,0,0,2,3
400,1,1,1,2,3
401,0,1,1,1,3
402,0,0,0,1,3
403,0,1,3,0,1
404,1,1,0,0,2
405,0,0,0,0,2
406,0,0,1,0,1
407,0,0,0,0,1
408,3,3,1,0,3
409,0,0,0,0,3
410,1,1,2,0,2
411,0,0,1,0,1
412,0,0,1,0,0
413,4,3,0,1,3
414,0,0,0,1,3
415,1,0,0,2,3
416,2,3,3,1,3
417,0,0,0,1,3
418,0,1,1,0,3
419,1,1,1,0,3
420,0,0,2,0,1
421,1,1,0,0,2
422,0,0,1,0,1
423,1,1,0,0,2
424,0,0,0,0,2
425,0,0,1,0,1
426,0,0,0,0,1
427,1,1,0,0,2
428,1,1,1,0,2
429,0,0,0,0,2
430,0,0,1,0,1
431,0,0,1,0,0
432,2,2,0,0,2
433,1,1,0,0,3
434,1,1,1,0,3
435,0,0,1,0,2
436,0,0,1,0,1
437,1,1,0,0,2
438,0,0,1,0,1
439,2,2,0,0,3
440,0,0,0,0,3
441,0,0,0,0,3
442,1,1,2,0,2
443,0,0,0,0,2
444,1,1,1,0,2
445,0,0,1,0,1
446,0,0,1,0,0
447,3,3,0,0,3
448,1,0,0,1,3
449,1,2,2,0,3
450,0,0,0,0,3
451,0,0,2,0,1
452,2,2,1,0,2
453,0,0,0,0,2
454,1,1,0,0,3
455,0,0,0,0,3
456,0,0,2,0,1
457,5,3,1,2,3
458,1,0,0,3,3
459,0,0,0,3,3
460,0,1,1,2,3
461,1,1,1,2,3
462,1,1,1,2,3
463,1,1,1,2,3
464,0,1,1,1,3
465,1,1,1,1,3
466,0,1,2,0,2
467,1,1,0,0,3
468,0,0,1,0,2
469,1,1,0,0,3
470,1,1,1,0,3
471,0,0,1,0,2
472,1,1,1,0,2
473,0,0,0,0,2
474,1,1,1,0,2
475,0,0,1,0,1
476,1,1,0,0,2
477,0,0,1,0,1
478,1,1,0,0,2
479,0,0,1,0,1
480,1,1,1,0,1
481,0,0,0,0,1
482,0,0,0,0,1
483,0,0,0,0,1
484,0,0,1,0,0
